MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MoSold,SaleCondition,SalePrice,YrSold
60,RL,101.0,14215,Pave,IR1,Corner,NridgHt,Norm,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,GasA,Ex,Y,SBrkr,1218,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2005.0,RFn,853,TA,TA,Y,240,154,0,0,0,11,Partial,325300,2006
45,RM,57.0,7449,Pave,Reg,Inside,IDOTRR,Norm,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,GasA,Ex,Y,FuseF,0,0,1,0,3,1,Gd,6,Typ,1,Attchd,1930.0,Unf,280,TA,TA,N,0,0,205,0,0,6,Normal,139400,2007
20,RL,75.0,9742,Pave,Reg,Inside,CollgCr,Norm,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2002.0,RFn,534,TA,TA,Y,171,159,0,0,0,9,Normal,230000,2008
120,RM,44.0,4224,Pave,Reg,Inside,MeadowV,Norm,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,GasA,TA,Y,SBrkr,0,1,1,0,3,1,TA,6,Typ,1,Attchd,1976.0,Unf,572,TA,TA,Y,100,110,0,0,0,6,Normal,129900,2007
20,RL,110.0,14230,Pave,Reg,Corner,NridgHt,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,890,TA,TA,Y,0,56,0,0,0,7,Normal,256300,2009
20,RL,60.0,7200,Pave,Reg,Corner,NAmes,Norm,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,180,900,GasA,TA,Y,SBrkr,0,0,1,0,3,1,Gd,5,Typ,0,Detchd,2005.0,Unf,576,TA,TA,Y,222,32,0,0,0,5,Normal,134800,2010
20,RL,98.0,11478,Pave,Reg,Inside,NridgHt,Norm,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,Gd,7,Typ,1,Attchd,2008.0,RFn,772,TA,TA,Y,0,50,0,0,0,5,Normal,306000,2010
20,RL,47.0,16321,Pave,IR1,CulDSac,NAmes,Norm,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,GasA,TA,Y,SBrkr,0,1,1,0,2,1,TA,6,Typ,2,Attchd,1957.0,RFn,319,TA,TA,Y,288,258,0,0,0,12,Normal,207500,2006
30,RM,60.0,6324,Pave,IR1,Inside,BrkSide,Feedr,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,0,0,1,0,1,1,Fa,4,Typ,0,Detchd,1920.0,Unf,240,Fa,TA,Y,49,0,87,0,0,5,Normal,68500,2008
70,C (all),50.0,8500,Pave,Reg,Inside,IDOTRR,Feedr,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,668,0,1,0,3,1,TA,6,Typ,0,Detchd,1920.0,Unf,250,TA,Fa,N,0,54,172,0,0,7,Normal,40000,2008
20,RL,85.0,11049,Pave,Reg,Corner,CollgCr,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2007.0,RFn,484,TA,TA,Y,0,30,0,0,0,1,Normal,179900,2008
20,RL,70.0,10552,Pave,IR1,Inside,NAmes,Norm,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,GasA,Gd,Y,SBrkr,0,0,1,1,4,1,Gd,6,Typ,1,Attchd,1959.0,RFn,447,TA,TA,Y,0,38,0,0,0,4,Normal,165500,2010
120,RL,60.0,7313,Pave,Reg,Inside,NridgHt,Norm,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,GasA,Ex,Y,SBrkr,0,1,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,Fin,556,TA,TA,Y,203,47,0,0,0,8,Normal,277500,2007
60,RL,108.0,13418,Pave,Reg,Inside,NridgHt,Norm,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,GasA,Ex,Y,SBrkr,1320,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2004.0,Fin,691,TA,TA,Y,113,32,0,0,0,9,Normal,309000,2006
20,RL,112.0,10859,Pave,Reg,Corner,CollgCr,Norm,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,GasA,Ex,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,0,Attchd,1995.0,Unf,672,TA,TA,Y,392,64,0,0,0,6,Normal,145000,2009
20,RL,74.0,8532,Pave,Reg,Inside,NAmes,Norm,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,GasA,Gd,Y,SBrkr,0,0,1,0,3,1,TA,5,Typ,1,Attchd,1954.0,Fin,498,TA,TA,Y,0,0,0,0,0,10,Normal,153000,2009
20,RL,68.0,7922,Pave,Reg,Inside,NAmes,Norm,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,GasA,TA,Y,SBrkr,0,1,1,0,3,1,Gd,5,Typ,0,Detchd,1953.0,Unf,246,TA,TA,Y,0,52,0,0,0,1,Abnorml,109000,2010
20,RL,84.0,8658,Pave,Reg,Inside,NAmes,Norm,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,TA,6,Typ,1,Attchd,1965.0,RFn,440,TA,TA,Y,0,138,0,0,0,12,Abnorml,160000,2006
20,RL,115.0,16905,Pave,Reg,Inside,Timber,Norm,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,GasA,Gd,Y,SBrkr,0,0,1,1,2,1,TA,5,Typ,2,Attchd,1959.0,RFn,308,TA,TA,P,0,104,0,0,0,7,Normal,170000,2007
20,RL,70.0,7945,Pave,Reg,Inside,NAmes,Norm,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,465,1150,GasA,Ex,Y,FuseA,0,1,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,300,TA,TA,Y,0,0,0,0,0,5,Normal,141000,2006
120,RL,61.0,7658,Pave,Reg,Inside,NridgHt,Norm,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,1752,GasA,Ex,Y,SBrkr,0,1,2,0,2,1,Ex,6,Typ,1,Attchd,2005.0,RFn,576,TA,TA,Y,196,82,0,0,0,2,Normal,319900,2010
50,RL,48.0,12822,Pave,IR1,CulDSac,Mitchel,Norm,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,83,1434,GasA,Ex,Y,SBrkr,631,1,1,1,1,1,Gd,6,Typ,1,Attchd,2003.0,RFn,670,TA,TA,Y,168,43,0,198,0,8,Abnorml,239686,2009
20,FV,84.0,11096,Pave,Reg,Inside,Somerst,Norm,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1632,1656,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2006.0,RFn,826,TA,TA,Y,0,146,0,0,0,7,Normal,249700,2007
20,RL,66.0,7742,Pave,Reg,Inside,Sawyer,Norm,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,192,955,GasA,Ex,Y,SBrkr,0,1,1,0,3,1,TA,6,Typ,0,Attchd,1966.0,Unf,386,TA,TA,Y,0,0,0,0,0,1,Normal,127000,2007
50,RM,52.0,6240,Pave,Reg,Inside,BrkSide,Norm,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,816,816,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,6,Typ,1,Detchd,1985.0,Unf,528,TA,TA,Y,112,0,0,0,0,9,Normal,114500,2006
90,RM,110.0,8472,Grvl,IR2,Corner,IDOTRR,RRNn,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,0,816,GasA,TA,N,SBrkr,0,1,1,0,2,1,TA,5,Typ,0,CarPort,1963.0,Unf,516,TA,TA,Y,106,0,0,0,0,5,Normal,110000,2010
20,RL,68.0,50271,Pave,IR1,Inside,Veenker,Norm,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,32,1842,GasA,Gd,Y,SBrkr,0,2,0,1,0,1,Gd,5,Typ,1,Attchd,1981.0,Fin,894,TA,TA,Y,857,72,0,0,0,11,Normal,385000,2006
80,RL,60.0,7134,Pave,Reg,Inside,NAmes,Norm,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,384,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,6,Min1,1,Detchd,1962.0,Unf,572,TA,TA,Y,0,50,0,0,0,2,Normal,130000,2007
20,RL,100.0,10175,Pave,IR1,Inside,NAmes,Norm,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,935,1425,GasA,Gd,Y,SBrkr,0,0,2,0,3,1,TA,7,Typ,1,Attchd,1964.0,RFn,576,TA,TA,Y,0,0,0,0,0,7,Normal,180500,2008
160,FV,24.0,2645,Pave,Reg,Inside,Somerst,Norm,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,321,970,GasA,Ex,Y,SBrkr,756,1,2,1,3,1,Gd,7,Typ,0,Attchd,1999.0,Fin,480,TA,TA,Y,115,0,0,0,0,8,Abnorml,172500,2009
60,RL,89.0,11645,Pave,IR1,Corner,CollgCr,Norm,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,860,860,GasA,Ex,Y,SBrkr,860,0,2,1,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,565,TA,TA,Y,0,70,0,0,0,8,Normal,196500,2006
60,RL,66.0,13682,Pave,IR2,CulDSac,StoneBr,Norm,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,1410,1410,GasA,Ex,Y,SBrkr,1519,0,3,1,3,1,Gd,10,Typ,1,BuiltIn,2006.0,Fin,641,TA,TA,Y,192,0,37,0,0,10,Partial,438780,2006
20,RL,60.0,7200,Pave,Reg,Inside,CollgCr,Norm,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,148,780,GasA,Ex,Y,SBrkr,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1973.0,Unf,352,TA,TA,Y,196,0,0,0,0,1,Normal,124900,2008
20,RL,63.0,13072,Pave,Reg,Inside,SawyerW,RRAe,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,217,1158,GasA,Ex,Y,SBrkr,0,1,1,1,3,1,Gd,5,Typ,0,Detchd,2006.0,Unf,576,TA,TA,Y,0,50,0,0,0,5,Partial,158000,2006
75,RM,60.0,7200,Pave,Reg,Inside,IDOTRR,Norm,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,530,530,GasA,TA,N,SBrkr,530,0,1,0,3,1,Fa,6,Typ,0,Detchd,1935.0,Unf,288,TA,TA,N,0,0,144,0,0,3,Normal,101000,2007
120,RL,44.0,6442,Pave,IR1,Inside,NridgHt,Norm,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,1346,1370,GasA,Ex,Y,SBrkr,0,0,2,0,2,1,Gd,6,Typ,1,Attchd,2006.0,RFn,484,TA,TA,Y,120,49,0,0,0,10,Normal,202500,2007
70,RM,50.0,10300,Pave,IR1,Inside,OldTown,RRAn,2Story,7,6,1921,1950,Gable,CompShg,Stucco,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,576,576,GasA,Gd,Y,SBrkr,808,0,2,0,3,1,TA,9,Typ,0,Detchd,1990.0,Unf,480,TA,TA,Y,12,11,64,0,0,4,Normal,140000,2010
60,RL,76.0,9591,Pave,Reg,Inside,NridgHt,Norm,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1143,1143,GasA,Ex,Y,SBrkr,1330,0,2,1,4,1,Gd,9,Typ,1,BuiltIn,2004.0,RFn,852,TA,TA,Y,192,151,0,0,0,10,Normal,317000,2007
20,RL,72.0,10665,Pave,IR1,Inside,CollgCr,Norm,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,440,1453,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,Gd,7,Typ,0,Attchd,2003.0,RFn,558,TA,TA,Y,144,29,0,0,0,6,Normal,226000,2007
30,RM,47.0,4608,Pave,Reg,Corner,OldTown,Artery,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,747,747,GasA,TA,Y,SBrkr,0,0,1,0,2,1,TA,4,Typ,0,Attchd,1945.0,Unf,220,TA,TA,Y,0,0,0,0,0,6,Normal,80000,2010
50,RL,81.0,15593,Pave,Reg,Corner,ClearCr,Norm,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,603,Unf,701,1304,GasW,TA,Y,SBrkr,983,0,2,0,3,1,TA,7,Typ,1,Attchd,1953.0,Fin,667,TA,TA,Y,0,21,114,0,0,7,Normal,225000,2006
20,RL,95.0,13651,Pave,IR1,Inside,NAmes,Norm,1Story,7,6,1973,1973,Gable,CompShg,Plywood,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,343,2223,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,TA,8,Typ,2,Attchd,1973.0,Fin,516,TA,TA,Y,300,0,0,0,0,2,Normal,244000,2007
20,RL,69.0,7599,Pave,Reg,Corner,Mitchel,Norm,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,280,845,GasA,TA,Y,SBrkr,0,1,1,0,2,1,TA,4,Typ,0,Detchd,1987.0,Unf,360,TA,TA,Y,0,0,0,0,0,6,Normal,129500,2007
60,RL,74.0,10141,Pave,IR1,Corner,Gilbert,Norm,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,40.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,832,832,GasA,Gd,Y,SBrkr,833,0,2,1,3,1,TA,7,Typ,1,Attchd,1998.0,Fin,427,TA,TA,Y,0,94,0,291,0,12,Normal,185000,2009
20,RL,85.0,10200,Pave,Reg,Inside,NAmes,Norm,1Story,5,7,1954,2003,Gable,CompShg,Wd Sdng,104.0,TA,TA,CBlock,TA,TA,No,ALQ,320,BLQ,404,1086,GasA,Gd,Y,SBrkr,0,1,1,0,3,1,TA,6,Typ,0,Attchd,1989.0,Unf,490,TA,TA,Y,0,0,0,0,0,5,Normal,144900,2010
50,RM,60.0,5790,Pave,Reg,Corner,OldTown,Norm,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,0.0,Gd,Gd,CBlock,Fa,TA,No,Unf,0,Unf,840,840,GasA,Gd,N,SBrkr,765,0,2,0,3,2,TA,8,Typ,0,Detchd,1915.0,Unf,379,TA,TA,Y,0,0,202,0,0,5,Normal,107400,2010
180,RM,21.0,1596,Pave,Reg,Inside,MeadowV,Norm,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,Unf,0,462,GasA,TA,Y,SBrkr,462,1,1,0,2,1,TA,5,Typ,0,BuiltIn,1973.0,Unf,297,TA,TA,Y,120,101,0,0,0,11,Normal,91000,2009
50,RM,50.0,8635,Pave,Reg,Inside,BrkSide,Norm,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,BLQ,336,GLQ,295,672,GasA,TA,Y,SBrkr,213,1,1,0,2,1,TA,6,Min1,0,Detchd,1948.0,Unf,240,TA,TA,Y,0,0,0,0,0,1,Normal,127000,2008
50,RM,60.0,10440,Pave,Reg,Corner,OldTown,Norm,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,440,440,GasA,Gd,Y,SBrkr,548,0,1,1,2,1,TA,5,Typ,0,Detchd,1966.0,Unf,440,TA,TA,Y,74,0,128,0,0,5,Normal,110000,2009
60,RL,100.0,13000,Pave,Reg,Corner,NAmes,Norm,2Story,6,6,1968,1968,Gable,CompShg,VinylSd,576.0,TA,Gd,CBlock,Gd,TA,No,Rec,448,Unf,448,896,GasA,TA,Y,SBrkr,960,0,2,1,4,1,Gd,8,Typ,1,Attchd,1968.0,Fin,509,TA,TA,Y,0,72,0,252,0,6,Normal,193500,2009
120,RM,32.0,4500,Pave,Reg,FR2,Mitchel,Norm,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,443.0,TA,Gd,PConc,Ex,Gd,No,GLQ,1201,Unf,36,1237,GasA,Ex,Y,SBrkr,0,1,2,0,2,1,TA,5,Typ,0,Attchd,1998.0,Fin,405,TA,TA,Y,0,199,0,0,0,3,Normal,153500,2006
20,RL,78.0,10206,Pave,Reg,Inside,Somerst,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,468.0,TA,TA,PConc,Gd,TA,No,GLQ,33,Unf,1530,1563,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,6,Typ,1,Attchd,2007.0,RFn,758,TA,TA,Y,144,99,0,0,0,10,Normal,245000,2008
20,RL,80.0,8892,Pave,IR1,Inside,NAmes,Norm,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,66.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1065,1065,GasA,Gd,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,0,Detchd,1974.0,Unf,461,TA,TA,Y,74,0,0,0,0,7,Normal,126500,2007
